TimeStamp,Humidity,SquareFootage,Occupancy,RenewableEnergy,EnergyConsumption
2021-01-02 01:30:00,40.34706645,1157.145018,2.0,22.02229095,65.98179417
2021-01-02 02:30:00,42.61044459,1177.22714112,2.2800000000000002,21.565156550799998,66.3948776468
2021-01-02 03:30:00,44.87382273,1197.30926424,2.56,21.1080221516,66.8079611236
2021-01-02 04:30:00,47.13720087,1217.39138736,2.84,20.6508877524,67.2210446004
2021-01-02 05:30:00,49.40057901,1237.47351048,3.12,20.193753353199998,67.6341280772
2021-01-02 06:30:00,51.66395715,1257.5556336,3.4000000000000004,19.736618954,68.047211554
2021-01-02 07:30:00,53.92733529,1277.63775672,3.68,19.2794845548,68.4602950308
2021-01-02 08:30:00,56.19071343,1297.71987984,3.96,18.8223501556,68.8733785076
2021-01-02 09:30:00,58.45409157,1317.80200296,4.24,18.365215756399998,69.2864619844
2021-01-02 10:30:00,60.71746971,1337.88412608,4.5200000000000005,17.9080813572,69.6995454612
2021-01-02 11:30:00,62.98084785,1357.9662492,4.800000000000001,17.450946958,70.112628938
2021-01-02 12:30:00,65.24422599,1378.04837232,5.08,16.9938125588,70.5257124148
2021-01-02 13:30:00,67.50760413,1398.13049544,5.36,16.5366781596,70.9387958916
2021-01-02 14:30:00,69.77098226999999,1418.21261856,5.640000000000001,16.0795437604,71.3518793684
2021-01-02 15:30:00,72.03436041,1438.29474168,5.92,15.622409361199999,71.7649628452
2021-01-02 16:30:00,74.29773854999999,1458.3768648,6.2,15.165274962,72.178046322
2021-01-02 17:30:00,76.56111669,1478.45898792,6.48,14.7081405628,72.5911297988
2021-01-02 18:30:00,78.82449482999999,1498.54111104,6.760000000000001,14.2510061636,73.0042132756
2021-01-02 19:30:00,81.08787297,1518.62323416,7.040000000000001,13.7938717644,73.4172967524
2021-01-02 20:30:00,83.35125110999999,1538.70535728,7.32,13.3367373652,73.8303802292
2021-01-02 21:30:00,85.61462925000001,1558.7874804,7.6000000000000005,12.879602966,74.243463706
2021-01-02 22:30:00,87.87800739,1578.86960352,7.880000000000001,12.4224685668,74.6565471828
2021-01-02 23:30:00,90.14138553000001,1598.95172664,8.16,11.9653341676,75.0696306596
2021-01-03 00:30:00,92.40476367,1619.03384976,8.440000000000001,11.5081997684,75.4827141364
2021-01-03 01:30:00,94.66814181,1639.11597288,8.72,11.0510653692,75.8957976132
2021-01-03 02:30:00,96.93151995,1659.198096,9.0,10.59393097,76.30888109
2021-01-03 03:30:00,94.18322733149999,1638.3227577500002,8.7,11.137845472,75.9056121435
2021-01-03 04:30:00,91.43493471299999,1617.4474195,8.4,11.681759974,75.502343197
2021-01-03 05:30:00,88.6866420945,1596.57208125,8.1,12.225674476,75.0990742505
